no,bugis,indonesia,english,len_bugis,skor_bugis
1,"Iyyae kajajiang tattunu'e nappa riisseng nasaba nalai korban jiwa, purana dipiara pole pabbanua sibawa tim pemadam tattunu'e ri ele esso. ""Ri wenni ero purana tattunu, idi toi engka lao mabongkar-bongkar, iyami bawang ri ele'e nappa riruntu"", adanna Avin. Makkedae anakna, iyae korban'e riisseng'i engkai ri bolae iya pura laleng keadaan degaga tau ero.","Insiden kebakaran ini baru diketahui menelan korban jiwa, setelah dilakukan penyisiran oleh warga dan tim pemadam kebakaran pada pagi hari. ""Semalam itu sesudah kebakaran, kita juga ada bongkar-bongkar, cuma tadi pagi baru ketahuan,"" ujar Avin. Menurut anaknya, korban diketahui memang sering berada di rumah yang sudah dalam keadaan kosong tersebut.","This fire incident was only discovered to have claimed lives after a search was carried out by residents and the fire brigade team in the morning. ""Last night after the fire, we also had demolition work, only this morning we found out,"" said Avin. According to his son, the victim was known to often be in the empty house.",53,14
2,"Na purana engka akku alena seddi Rasul pole sese Puang iya napattongeng aga (kitta') iya engkae akku alena, saisa' pole tau-tau iya iwereng e kitta' (Taurat) naddempereng i kitta' na Puang e lao imonri (alekke') na, sippada narekko de' naisseng i (makkeda iyaro ianaritu kitta' na Puang e).","Dan setelah datang kepada mereka seorang Rasul dari sisi Allah yang membenarkan apa (kitab) yang ada pada mereka, sebahagian dari orang-orang yang diberi kitab (Taurat) melemparkan kitab Allah ke belakang (punggung)nya, seolah-olah mereka tidak mengetahui (bahwa itu adalah kitab Allah).","And after there came to them a Messenger from Allah who confirmed what (the book) was with them, some of those who were given the book (Torah) threw the book of Allah behind (their backs), as if they did not know (that it was the book of Allah).",48,13
3,"Tau-tau ero mangngingkari sibawa de'na tunru' lao attongengeng sibawa tuli makkabbua' makkaro lettu' mate laleng keadaang i ingkari, siddi mua pole alena de' engka dapi' mattembusu' sessa Allata'ala sibawa tebbuseng aga ero, amo tebbuseng ero alena ajukeng siddi emmasa' sipenno na lino sibawa langngi' narekko alena wedding. Nappa, sessa alena sisunggunna liwe' mappilukeng.","Orang-orang yang mengingkari dan tidak tunduk kepada kebenaran serta terus berbuat demikian sampai mati dalam keadaan ingkar, seorang pun dari mereka tidak akan dapat menebus siksa Allah dengan tebusan apa saja, meskipun tebusan yang mereka ajukan berupa emas sepenuh bumi dan langit--kalau mereka mampu. Dan, siksa mereka sungguh sangat memilukan.","Those who deny and do not submit to the truth and continue to do so until they die in a state of disobedience, none of them will be able to atone for Allah's punishment with any ransom, even if the ransom they offer is in the form of gold as much as the earth and the sky - if they can afford it. And, their torture was truly heartbreaking.",53,12
4,"Narekko iya' iusiri' eromi aappapang alena, ri esso kiama' matu' alena engka mahhada' lao Puang nappa mangngadukeng ero laing. Iya' ma angga' alena ero tau-tau beleng ero de'na wedding mangngukuru' utamang mahlu' Allata'ala maga ukureng utamang ero ri pakkita pole addudukeng nappa hartana pekka tega ero alena naseng, ato naita pole abbajikeng nappa attundukengna lao attongengeng.","Jika aku mengusir hanya karena kepapaan mereka, di hari kiamat nanti mereka akan menghadap Tuhan dan mengadukan hal itu. Aku menganggap kalian adalah orang-orang bodoh yang tidak dapat mengukur keutamaan makhluk Allah apakah ukuran keutamaan seseorang itu dilihat dari kedudukan dan hartanya sebagaimana yang kalian kira, atau dilihat dari kebajikan dan ketundukannya pada kebenaran.","If I chase them away just because they are poor, on the Day of Judgment they will face God and complain about it. I think you are stupid people who cannot measure the superiority of God's creatures whether the measure of a person's virtue is seen from his position and wealth as you think, or seen from his virtue and submission to the truth.",56,12
5,Nappa narekko alena de' naadakeng ajjokkang ri lino nappa perhatikeng pekka tega akiba' (ero ideritang) sibawa tau-tau riolo alena? tau-tau ero iyaro lebbi kua' pole alemu (ale-ale) nappa pura manggola lino (tanang) sibawa pakanjaki lebbi mega pole aga yero pura alena pakanjaki. Nappa pura engka lao laena rosul-rosul alena mabbawa bulu'-nulu' lebbi irita.,Dan apakah mereka tidak mengadakan perjalanan di muka bumi dan memperhatikan bagaimana akibat (yang diderita) oleh orang-orang sebelum mereka? orang-orang itu adalah lebihkuat dari mereka (sendiri) dan telah mengolah bumi (tanah) serta memakmurkannya lebih banyak dari apa yang telah mereka makmurkan. Dan telah datang kepada mereka rasul-rasul mereka dengan membawa bukti-bukti yang nyata.,And did they not travel on the face of the earth and see the consequences (suffered) by those before them? those people were stronger than they (themselves) and had cultivated the earth (land) and prospered it more than what they had prospered from. And their messengers came to them with clear proofs.,53,12
6,"Iyakiyya lao ri sidangna jemaa' Sardis , iya parellui naseha makeddo , naperhatikangngi Yesus siningna tau iya nulle lolongeng pujian , sibawa makkedai , "" Namuni makkeroi , memeng engka siaga aseng ri Sardis iya de'na cemari pakeangna , nainappa alena mennang jokkaka sibawa pakei pakeang pute , nasaba alena mennang weddingngi . ""","Bahkan kepada sidang jemaat Sardis , yang membutuhkan nasihat yang keras , Yesus memperhatikan orang perorangan yang layak mendapatkan pujian , dengan mengatakan ,  Meskipun demikian , memang ada beberapa nama di Sardis yang tidak mencemari pakaian luar mereka , dan mereka akan berjalan bersamaku dengan pakaian luar putih , karena mereka layak .","Even to the congregation of Sardis, which needed strong counsel, Jesus noted individuals worthy of praise, saying, Nevertheless, there are some names in Sardis who have not defiled their outer garments, and they will walk with me in white outer garments, for they are worthy.",54,12
7,"""Sesuai sibawa wassele pertapaanna, Hiranyakasipu malai anugerah pole Dewa Brahma, makkedai alena de'na nullei riyuno okko taue, olokolo' yarega Dewa de'na wedding yuno wettu ele, wellakesso, sibawa wenni de'na wedding yuno ri pottanang, tasi', api, yarega udara de'na wedding yuno rilaleng sibawa ri saliweng bola, sibawa de'na wedding yuno okko yamaneng senjata.""","""Sesuai dengan hasil pertapaannya, Hiranyakasipu mendapat anugerah dari Dewa Brahma, bahwa ia tidak bisa dibunuh oleh manusia, binatang ataupun Dewa tidak bisa dibunuh saat pagi, siang, dan malam tak bisa dibunuh di darat, laut, api, ataupun udara tak bisa dibunuh di dalam dan di luar rumah, dan tak bisa dibunuh oleh segala senjata.""","""In accordance with the results of his asceticism, Hiranyakashipu received a gift from Lord Brahma, that he could not be killed by humans, animals or gods could not be killed in the morning, noon and night could not be killed on land, sea, fire or air could not be killed inside or outside the house, and could not be killed by any weapon.""",52,12
8,"Mappammulai poleroda dua, oto pribadi lettu' ri angkutanang umum. Ri tujunna apparessangngepantauan ri lokasi, de'gaga kemacetan luar biasa kajajiang masero. Arus lalu lintas lancar, naekiya egana oto pura menre seratus persenna pole ri esso rioloe. Riyellauwi ri sapiri, kuwammengngi natette'i joppa sibawa ati-ati wettu napalari kenderaan. Narekko matinroko iyyarega malemmako, ripassaleng'ko lao ri ondrong appesaungeng micawe.","Mulai dari roda dua, mobil pribadi hingga angkutan umum. Sejauh ini berdasarkan pantauan di lokasi, tidak ada kemacetan luar biasa yang terjadi. Arus lalu lintas lancar, walaupun volume kendaraan sudah meningkat seratus persen dari hari sebelumnya. Para pengendara, diimbau untuk hati-hati saat mengemudikan kendaraan. Apabila mengantuk atau lelah, disarankan untuk segera beristirahat di rest area terdekat.","Starting from two wheels, private cars to public transportation. So far, based on monitoring at the location, no extraordinary traffic jams have occurred. Traffic flow is smooth, even though vehicle volume has increased one hundred percent from the previous day. Motorists are advised to be careful when driving vehicles. If you are sleepy or tired, it is recommended to immediately rest in the nearest rest area.",56,12
9,"Nigana ero engka tulungi aleku) ero engka mabbentengi aleku (pole Allata'ala) pole aza'-Na (narekko iya' mangngusiri' alena) tau-tau ero maimang sibawakku, tette'ni ero de'ga siddi pattulungeng to. (Jaji de'na) maga de' (alena mala agguruang) lapala tadzakkaruuna assala'na iyaro tatadzakkaruuna, nappa hurupu ta pole ri idgamkeng lao dzal jaji jajini tadzdzakkaruuna, bettuanna pada sibawa tatta' izhuuna, yero mala agguruang.","Siapakah yang akan menolongku) yang dapat membentengi diriku (dari Allah) dari azab-Nya (jika aku mengusir mereka) orang-orang yang beriman kepadaku, tentu saja tidak ada seorang penolong pun. (Maka tidakkah) mengapa tidak (kalian mengambil pelajaran) lafal tadzakkaruuna asalnya adalah tatadzakkaruuna, kemudian huruf ta asal diidgamkan kepada dzal sehingga jadilah tadzdzakkaruuna, artinya sama dengan tattaizhuuna, yaitu mengambil pelajaran.","Who will help me) who can protect me (from Allah) from His punishment (if I expel them) those who believe in me, of course there is no helper. (Then why not) why not (you take lessons) the original pronunciation of tadzakkaruuna is tatadzakkaruuna, then the original letter ta was added to dzal so that it became tadzdzakkaruuna, which means the same as tattaizhuuna, namely taking lessons.",58,12
10,"""Doofenshmirtz najelaskangi makkeda alena pura nacoba mabbere pesta ulang tahung kaminang makanja untu' alena, tapi gagal'i nasaba' siare'-are' alasang, nasaba' alena narasa de' napoji laddei sibawa esso ulang tahunna sepanjang hidupna (yewe terbukti pole siare'-are' foto ulang taung ye ijellokengi akku Doofenshmirtz lao Perry ri dompe'na).""","""Doofenshmirtz menjelaskan bahwa dia telah mencoba memberikan pesta ulang tahun terbaik untuknya, namun gagal karena beberapa alasan, karena dia merasa sangat tidak senang dengan hari ulang tahunnya sepanjang hidupnya (ini terbukti dari beberapa foto ulang tahun yang ditunjukkan oleh Doofenshmirtz kepada Perry di dompet).""","""Doofenshmirtz explains that he had tried to give her the best birthday party, but failed for some reason, because he had been very unhappy with her birthdays his entire life (this was evident from several birthday photos that Doofenshmirtz showed Perry in his wallet).""",46,12
